nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Fundació Montsià|Fundació|2022|2004/08/20|Plaça Lluís Companys , s/n|Amposta|43870|Montsià|Cultural|Mediambientals ; Cultural ; Preservació del patrimoni cultural
Fundació Morales-Palau|Fundació|1191|1998/06/30|Carrer Bonaventura Calopa , 13|Sant Boi de Llobregat|08830|Baix Llobregat|Docent i Fins Científics|Docent ; Fins científics ; Altres activitats formatives ; Atenció mèdica no hospitalària
Fundació Mossen Comamala|Fundació|652|1993/02/08|Carrer Raval del Roser , 10-12|Vilabella|43886|Alt Camp|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Mossèn Josep Raventós|Fundació|2738|2012/07/03|Camí de la Creu , 1|Ordal|08739|Alt Penedès|Assistencial|Assistencial
Fundació Museu Picasso de Barcelona|Fundació|2781|2013/09/30|Carrer Montcada , 15|Barcelona|08003|Barcelonès|Cultural|Cultural
Fundació Museu d'Art Contemporani de Barcelona|Fundació|326|1987/10/13|Plaça dels Àngels , 1|Barcelona|08002|Barcelonès|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Museu d'Història de la Medicina de Catalunya|Fundació|51|1984/06/15|Passeig Bonanova , 47|Barcelona|08017|Barcelonès|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Museu del Cinema. Col·lecció Tomàs Mallol|Fundació|838|1994/11/03|Carrer Sèquia , 1|Girona|17001|Gironès|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Museu del Pessebre de Catalunya|Fundació|2957|2016/04/11|Carrer Solans , 22-24|Montblanc|43400|Conca de Barberà|Cultural|Cultural
Fundació Museu del Transport|Fundació|933|1995/11/16|Passatge Clot Del Moro , 1|Castellar de n'Hug|08696|Berguedà|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Museu dels Sants|Fundació|2228|2006/07/21|Carrer Joaquim Vayreda (Edif. Art Cristià)|Olot|17800|Garrotxa|Cultural|Cultural
Fundació Màgica|Fundació|2630|2010/06/21|Carrer Zamora , 86, bxs.|Barcelona|08018|Barcelonès|Cultural|Cultural
Fundació Música Contemporània|Fundació|704|1993/07/08|Carrer Nena Casas , 60-62, bxs.|Barcelona|08017|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Música Solidària|Fundació|2926|2015/11/20|Carrer Balaguer , 1, 3r|Terrassa|08227|Vallès Occidental|Cultural|Cultural
Fundació Mútua General de Catalunya, Fundació Privada|Fundació|990|1996/06/17|Carrer Tuset , 5-11, bxs.|Barcelona|08006|Barcelonès|Assistencial|Assistencial ; Promoció
Fundació Mútua Manresana|Fundació|832|1994/09/29|Carrer Mossèn Serapí Farré , 39-41|Manresa|08242|Bages|Assistencial i Cultural|Realització actes culturals ; Cultural ; Assistencial
Fundació Mútua de Terrassa per a la Docència i Recerca Biomedica i Social, Fundació Privada Catalana|Fundació|1442|2000/09/20|Plaça Dr. Robert , 5|Terrassa|08221|Vallès Occidental|Docent i Fins Científics|Docent ; Fins científics
Fundació Naia|Fundació|2884|2015/02/06|Carrer Santiago Rusiñol , 6, Local 4|Viladecans|08840|Baix Llobregat|Cultural|Cultural
Fundació Narcís Monturiol (Universitat Tècnica d'Estiu de Catalunya)|Fundació|376|1988/06/01|Carrer Enric Granados , 137, 1r 1a|Barcelona|08008|Barcelonès|Cultural i Docent|Altres activitats formatives ; Cultural ; Docent
Fundació Natura|Fundació|1143|1998/02/17|Carrer Duquessa d'Orleans , 6, bxs.|Barcelona|08034|Barcelonès|Cultural|Mediambientals ; Cultural
Fundació Netherlands Business Support Office (NBSO) Barcelona|Fundació|2737|2012/07/03|Carrer Consell de Cent , 373, 2n 1a|Barcelona|08009|Barcelonès|Cultural|Cultural
Fundació Niebla, Fundació Privada|Fundació|1229|1998/11/24|Carrer Casavells|Casavells|17121|Baix Empordà|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Noguera, Fundació Privada|Fundació|181|1985/06/14|Carrer Notariat  , 4|Barcelona|08001|Barcelonès|Cultural|Promoció ; Jurídica ; Cultural
Fundació Nostra Senyora de Brugues|Fundació|642|1992/12/01|Carrer Artur Costa , 68, bxs. 2a|Gavà|08850|Baix Llobregat|Assistencial|Pobres i indigents ; Assistencial
Fundació Nou Barris per la Salut Mental Fundació Privada (F9B)|Fundació|913|1995/07/24|Passeig Valldaura , 214, 1r|Barcelona|08042|Barcelonès|Assistencial|Assistencial ; Atenció mèdica no hospitalària
Fundació Nou Mil·lenni|Fundació|1625|2002/02/28|Carrer Folgueroles , 8-10, 5è 4a|Barcelona|08022|Barcelonès|Assistencial|Assistencial
Fundació Nouxamfrà|Fundació|2731|2012/05/21|Carrer Riera Pahissa , 3|Sant Feliu de Llobregat|08980|Baix Llobregat|Assistencial|Assistencial
Fundació Obiols|Fundació|162|1985/05/08|Carrer Girona , 92, entl.|Barcelona|08009|Barcelonès|Docent|Docent ; Altres activitats formatives
Fundació Observatori de l'Ebre|Fundació|57|1984/07/02|Carrer Horta Alta , 38|Roquetes|43520|Baix Ebre|Cultural i Fins Científics|Fins científics ; Cultural
Fundació Occitano-Catalana (FOC)|Fundació|544|1991/07/12|Carrer Cargola , 6, A|Vila-sacra|17485|Alt Empordà|Assistencial i Cultural|Cultural ; Promoció ; Assistencial
Fundació Oficial de la Fira de Reus|Fundació|982|1996/05/16|Avinguda Sant Jordi , s/n|Reus|43201|Baix Camp|Cultural|Promoció ; Cultural
Fundació Ofivert|Fundació|794|1994/06/03|Carrer Anselm Clavé , 4|Lleida|25007|Segrià|Cultural|Mediambientals ; Cultural
Fundació Omshanti Yoga|Fundació|2881|2015/01/23|Carrer Camprodon , 10|Canovelles|08420|Vallès Oriental|Cultural|Cultural
Fundació Orfeó Lleidatà|Fundació|2850|2014/07/18|Carrer Darrera de Sant Martí , s/n|Lleida|25004|Segrià|Cultural|Cultural
Fundació Orfeó Manresà, Fundació Privada|Fundació|2256|2006/11/08|Carrer Muralla Sant Domènec , 1|Manresa|08241|Bages|Cultural|Cultural
Fundació Orquestra Simfònica del Vallès|Fundació|1002|1996/07/16|Carrer Narcís Giralt , 40|Sabadell|08202|Vallès Occidental|Cultural|Cultural ; Artístiques
Fundació Orquestra de Cambra de Granollers|Fundació|2662|2011/02/08|Carrer Ponent , 44|Granollers|08401|Vallès Oriental|Cultural|Cultural
Fundació Osona Gastronomia|Fundació|2565|2009/04/21|Passeig de la Suïssa , s/n|Tona|08851|Osona|Cultural|Cultural
Fundació Osona Solidària|Fundació|2002|2004/07/12|Plaça Estació , 6, entl.|Vic|08500|Osona|Assistencial|Assistencial ; Cooperació al desenvolupament ; Pobres i indigents
Fundació PROA (Proactiva Open Arms)|Fundació|2980|2016/07/29|Carrer Rector , 95, bxs.|Badalona|08912|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Paideia|Fundació|2636|2010/08/03|Carrer Montnegre , 36-42|Barcelona|08029|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Palafrugell Gent Gran|Fundació|2213|2006/06/14|Avinguda Mestre Josep Bonay , 15|Palafrugell|17200|Baix Empordà|Assistencial|Assistencial
Fundació Parc Científic de Barcelona|Fundació|1149|1998/03/03|Carrer Baldiri Reixac , 4-8|Barcelona|08028|Barcelonès|Fins Científics|Fins científics
Fundació Parc Taulí|Fundació|666|1993/05/21|Carrer Parc Taulí , 1|Sabadell|08208|Vallès Occidental|Docent i Fins Científics|Docent ; Fins científics
Fundació Parc Tecnològic del Vi|Fundació|2132|2005/11/02|Carretera de Porrera , Km. 1|Falset|43730|Priorat|Cultural i Fins Científics|
Fundació Parc de Recerca UAB|Fundació|2368|2007/10/30|Campus de la Universitat Autònoma de Barcelona|Cerdanyola del Vallès|08193|Vallès Occidental|Fins Científics|Fins científics
Fundació Patronat de la Vila d'Artés|Fundació|2766|2013/05/30|Carrer Hospital , 15|Artés|08271|Bages|Assistencial|Assistencial
Fundació Pau Casals, Fundació Privada|Fundació|217|1985/12/18|Avinguda Palfuriana , s/n|Vendrell|43880|Baix Penedès|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Pedagògica el Brot, Fundació Privada Catalana|Fundació|557|1991/10/07|Carrer Major , 41|Sant Joan Despí|08970|Baix Llobregat|Docent|Docent ; Gestió centres d'ensenyament
Fundació Pepe Rubianes|Fundació|2670|2011/04/05|Carrer Aribau , 176 , bis, s/àt.|Barcelona|08036|Barcelonès|Assistencial|Assistencial
Fundació Per la Pau, Fundació Privada|Fundació|128|1984/12/20|Carrer Casp , 31, 2n 1a|Barcelona|08010|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Pere Mata Terres de l'Ebre, Fundació Privada|Fundació|2159|2006/01/20|Carrer Amèrica (cant. Gran Capità d'Amposta) , 15|Amposta|43870|Montsià|Assistencial|Hospitalàries
Fundació Pere Mata, Fundació Privada|Fundació|1304|1999/07/08|Carretera de l'Institut Pere Mata , s/n|Reus|43206|Baix Camp|Assistencial|Assistencial ; Tutelar persones malaltia mental ; Discapacitats
Fundació Pere Padrosa Puignau i Margarita Pierre Malloll|Fundació|1967|2004/04/28|Carrer Fossos , 12|Figueres|17600|Alt Empordà|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Periodisme Plural|Fundació|2773|2013/06/21|Avinguda Josep Tarradellas , 13, entl. 2a|Barcelona|08029|Barcelonès|Cultural|Cultural
Fundació Pilar Felip i Galícia|Fundació|859|1995/01/04|Avinguda Prat de la Riba , 34, 2n|Lleida|25004|Segrià|Assistencial|Discapacitats ; Assistencial
Fundació Planas Casals|Fundació|2593|2009/11/18|Carrer Muntaner , 98-100, 4t 2a|Barcelona|08036|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Plegadis|Fundació|3030|2017/07/13|Partida Casablanca, Polígon 11, Parcel·la 31|Sant Carles de la Ràpita|43540|Montsià|Cultural|Cultural
Fundació Politècnica de Catalunya|Fundació|834|1994/10/13|Carrer Badajoz , 73|Barcelona|08005|Barcelonès|Docent|Docent ; Altres activitats formatives
Fundació Privada  Catalunya - Bosnia Herzegovina|Fundació|1264|1999/03/04|Carrer Via Laietana , 30, 4t|Barcelona|08003|Barcelonès|Assistencial i Cultural|Promoció ; Assistencial ; Cultural
Fundació Privada  FIATC|Fundació|18|1984/02/01|Avinguda Diagonal , 648|Barcelona|08010|Barcelonès|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Privada " Fundació Pilar Llongueres i Esteve Petit "|Fundació|1831|2003/06/27|Carrer Sèneca , 22, 3r|Barcelona|08006|Barcelonès|Cultural i Docent|Cultural ; Artístiques ; Docent
Fundació Privada " Germanes Saula Palomer "|Fundació|1901|2003/11/10|Ronda General Mitre , 117, 2n 2a|Barcelona|08022|Barcelonès|Assistencial i Cultural|Artístiques ; Cultural ; Assistencial
Fundació Privada " Salomó Can Cadernal "|Fundació|1821|2003/06/12|Carrer Josep Nin , 7|Salomó|43885|Tarragonès|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada "CREATIA"|Fundació|2068|2005/02/09|Avinguda Diagonal , 640, 3r F|Barcelona|08017|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural ; Realització actes culturals ; Pobres i indigents ; Cooperació al desenvolupament
Fundació Privada "Cardiodreams Foundation"|Fundació|2904|2015/05/07|Carrer Mar , 16|Cabrera de Mar|08349|Maresme|Assistencial|Assistencial
Fundació Privada "Chari Cruz"|Fundació|1714|2002/11/04|Refugi d'Animals Sa Sureda , s/n|Tossa de Mar|17320|Selva|Assistencial i Cultural|Promoció ; Cultural ; Assistencial
Fundació Privada "El Foment" de Banyoles|Fundació|2279|2007/01/09|Carrer Abeurador , 10, 2n|Banyoles|17820|Pla de l'Estany|Cultural|Cultural
Fundació Privada "Horitzó del Berguedà"|Fundació|3018|2017/04/21|Plaça Europa , 3, bxs.|Berga|08600|Berguedà|Assistencial|Assistencial
Fundació Privada "LA RODA" d'Accions Culturals i del Lleure|Fundació|1872|2003/10/03|Carrer Sèquia , 9-11, bxs.|Barcelona|08003|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada "Les Vetes"|Fundació|653|1993/02/26|Carrer Sant Antoni , 2|Salt|17190|Gironès|Assistencial|Residències ; Assistencial
Fundació Privada "Parc Aeronàutic de Catalunya"|Fundació|1114|1997/10/30|Carretera de Bellaterra , s/n|Sabadell|08205|Vallès Occidental|Cultural|Realització actes culturals ; Preservació del patrimoni cultural ; Cultural
Fundació Privada "Rodríguez Amat"|Fundació|863|1995/02/09|Les Olives (Garrigoles)|Garrigoles|17466|Baix Empordà|Cultural|Artístiques ; Cultural
Fundació Privada "Terra i Arbres"|Fundació|1728|2002/12/02|Carrer Amadeu Vives , 11|Collbató|08293|Baix Llobregat|Cultural|Mediambientals ; Cultural ; Realització actes culturals
Fundació Privada "Vall Palou"|Fundació|2584|2009/07/10|Carrer Roger de Llúria , 2, bxs.|Lleida|25005|Segrià|Cultural|Cultural
Fundació Privada "bonArea"|Fundació|2065|2005/02/03|Carretera Guissona-Solsona Km. 4,8|Massoteres|25211|Segarra|Cultural|Esportives ; Cultural ; Realització actes culturals
Fundació Privada (ONG) Manyanet Solidari|Fundació|2470|2008/07/28|Carrer Entença , 301|Barcelona|08029|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Privada - Barri de Pardinyes de Lleida|Fundació|1453|2000/10/09|Carrer Sant Pere Claver , 1|Lleida|25001|Segrià|Assistencial|Cooperació al desenvolupament ; Assistencial ; Tutelar marginats
Fundació Privada A. Bosch|Fundació|2006|2004/07/22|Carrer Pla de Beguda , s/n|Sant Joan les Fonts|17857|Garrotxa|Fins Científics|Fins científics
Fundació Privada AAVC|Fundació|1880|2003/10/21|Carrer Emilia Coranti , 16|Barcelona|08018|Barcelonès|Cultural|Cultural ; Artístiques
Fundació Privada ACSAR|Fundació|2196|2006/05/09|Carrer Portaferrissa , 13, bis, 1r|Barcelona|08002|Barcelonès|Cultural|Cultural
Fundació Privada ADI, Atención Domiciliaria Infantil|Fundació|2007|2004/07/22|Carrer Rocafort , 12-20, 2n 4a|Barcelona|08015|Barcelonès|Assistencial|Famílies ; Infància i adolescència ; Assistencial
Fundació Privada ADIS|Fundació|1627|2002/03/01|Carrer Reg de Sant Agustí , 7, bxs.|Puigcerdà|17520|Cerdanya|Assistencial|Assistencial ; Discapacitats
Fundació Privada AJEM|Fundació|1316|1999/09/16|Avinguda Diputació , 14|Móra d'Ebre|43740|Ribera d'Ebre|Assistencial|Assistencial ; Discapacitats ; Tutelar discapacitats sensorials ; Tutelar discapacitats psíquics
Fundació Privada ALB-BOSC|Fundació|2084|2005/04/05|Carrer Lluís Millet , 7-11|Mollet del Vallès|08100|Vallès Oriental|Assistencial|Discapacitats ; Assistencial
Fundació Privada AP Fundación Sport Ayuda a Ayudar|Fundació|1574|2001/08/13|Carrer Jesús , 10|Badalona|08911|Barcelonès|Assistencial|Assistencial ; Cooperació al desenvolupament
Fundació Privada ARED|Fundació|1624|2002/02/28|Carrer de Zamora , 103-105, bxs.|Barcelona|08018|Barcelonès|Assistencial|Cooperació al desenvolupament ; Assistencial
Fundació Privada ASPID per a la Normalització Social|Fundació|2653|2010/12/15|Carrer Roger de Lluria , 6|Lleida|25005|Segrià|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada AVAN|Fundació|2142|2005/11/29|Carrer Estrella , 110|Sabadell|08201|Vallès Occidental|Assistencial|Famílies
Fundació Privada Abadia de Montserrat 2025 (per anagrama Fundació Monserrat 2025)|Fundació|1100|1997/09/22|Monestir de Montserrat|Monistrol de Montserrat|08691|Bages|Cultural|Cultural ; Religioses
Fundació Privada Abertis|Fundació|1356|2000/01/12|Carrer Castell , s/n|Castellet i la Gornal|08729|Alt Penedès|Cultural|Promoció ; Cultural
Fundació Privada Acció per l'Educació|Fundació|2081|2005/03/09|Avinguda Diagonal , 626, 4t 1a|Barcelona|08021|Barcelonès|Cultural i Docent|Docent ; Altres activitats formatives ; Cultural ; Realització actes culturals
Fundació Privada Ada, per al Desenvolupament dels Adivasis|Fundació|2248|2006/09/20|Carrer Francisco Giner , 42, 2n 1a|Barcelona|08012|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Privada Adana|Fundació|1102|1997/09/25|Avinguda del Tibidabo , 15, PB|Barcelona|08022|Barcelonès|Assistencial|Discapacitats ; Assistencial
Fundació Privada Adfisret|Fundació|1763|2003/02/28|Carrer Pere Vergés , 1, 7è 17|Barcelona|08020|Barcelonès|Assistencial i Cultural|Cultural ; Editorials ; Assistencial
Fundació Privada Afectats i Afectades Fibromiàlgia i Síndrome Fatiga Crònica|Fundació|1799|2003/04/22|Avinguda Diagonal , 365, 4t 1a|Barcelona|08037|Barcelonès|Cultural, Assistencial i Fins Científics|Assistencial ; Cultural ; Promoció
Fundació Privada Affinity|Fundació|350|1988/02/03|Plaça Europa , 54-56|Hospitalet de Llobregat|08902|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Ager|Fundació|2126|2005/10/18|Passeig Vilesa , 10, B, 3r 1a|Tiana|08391|Maresme|Assistencial i Cultural|Assistencial ; Cultural ; Cooperació al desenvolupament ; Atenció mèdica no hospitalària
Fundació Privada Agermanament|Fundació|2106|2005/07/11|Carrer Lluna , 22, entl. 2a|Barcelona|08001|Barcelonès|Assistencial i Cultural|Promoció ; Assistencial ; Cultural
Fundació Privada Agromediterrània|Fundació|1606|2001/12/13|Carrer Via Laietana , 36, pral. 2a|Barcelona|08003|Barcelonès|Cultural|Promoció ; Cultural
Fundació Privada Agropecuària de Guissona|Fundació|1198|1998/07/09|Rambla Dels Segadors , 57|Guissona|25210|Segarra|Assistencial i Cultural|Promoció ; Assistencial ; Cultural ; Cooperació al desenvolupament
Fundació Privada Agència i Mediació Comercial (AMEC)|Fundació|987|1996/06/03|Carrer Casp , 130|Barcelona|08010|Barcelonès|Cultural|Cultural ; Promoció
Fundació Privada Aigua|Fundació|1879|2003/10/21|Carrer Falguera , 50|Sant Feliu de Llobregat|08980|Baix Llobregat|Cultural|Cultural ; Mediambientals
Fundació Privada Albertí Farreró|Fundació|1581|2001/10/01|Carrer Ramón Masifern , 2|Bisbal d'Empordà|17100|Baix Empordà|Assistencial|Discapacitats ; Assistencial
Fundació Privada Alergo|Fundació|1609|2002/01/11|Carrer Santaló , 93, entl. 3a|Barcelona|08021|Barcelonès|Fins Científics|Fins científics
Fundació Privada Alfons Carbonell "El Cedre"|Fundació|1914|2003/12/17|Ronda Francesc Camprodon , 2|Vic|08500|Osona|Assistencial|Famílies ; Assistencial
Fundació Privada Alfonsa Cavin|Fundació|824|1994/08/19|Carrer València , 252|Barcelona|08007|Barcelonès|Cultural i Docent|Altres activitats formatives ; Cultural ; Docent
Fundació Privada Alicia Cuello de Merigo|Fundació|2274|2006/11/28|Carrer Acadèmia , 12, alt.|Lleida|25002|Segrià|Cultural|Cultural
Fundació Privada Alimentària Catalana|Fundació|2154|2006/01/16|Carrer Gran Via de les Corts Catalanes , 631, 6|Barcelona|08010|Barcelonès|Cultural|Cultural
Fundació Privada Alosa|Fundació|800|1994/06/27|Rambla Alcalde Areny , 30, bxs.|Lleida|25002|Segrià|Assistencial i Fins Científics|Fins científics ; Assistencial ; Discapacitats ; Tutelar discapacitats psíquics
Fundació Privada Alt Empordà Segle XXI|Fundació|1319|1999/09/23|Avinguda Salvador Dalí , 10|Figueres|17600|Alt Empordà|Cultural i Docent|Promoció ; Docent ; Cultural
Fundació Privada Altem|Fundació|1314|1999/09/14|Carrer Itàlia , 46|Figueres|17600|Alt Empordà|Assistencial|Discapacitats ; Assistencial
Fundació Privada Amadeu Altimira|Fundació|2288|2007/01/25|Plaça Vila , 5, bxs|Santa Maria de Palautordera|08460|Vallès Oriental|Assistencial|Assistencial
Fundació Privada Amentia|Fundació|2171|2006/02/20|Carrer Alba , 1-3, bxs. A4|Barcelona|08012|Barcelonès|Assistencial|
Fundació Privada Amiba|Fundació|761|1994/03/07|Carrer Torrent d'en Grau , 30|Badalona|08917|Barcelonès|Assistencial|Assistencial ; Discapacitats
Fundació Privada Amics d' El Pinar|Fundació|1185|1998/06/17|Carrer Canal de la Mànega , 3-5|Sant Cugat del Vallès|08197|Vallès Occidental|Docent|Gestió centres d'ensenyament ; Docent
Fundació Privada Amics de Cipo|Fundació|1757|2003/02/11|Carrer Himalaia , 41-59|Sabadell|08207|Vallès Occidental|Assistencial|Assistencial ; Discapacitats
Fundació Privada Amics de Cope Trust|Fundació|2497|2008/10/21|Carrer Verdi , 252, 2n 2a|Barcelona|08024|Barcelonès|Assistencial|Assistencial
Fundació Privada Amics de Mare Rosa|Fundació|1224|1998/10/16|Carrer Sant Sebastià , 34|Rubí|08191|Vallès Occidental|Cultural|Cultural ; Religioses
Fundació Privada Amics de la Gent Gran|Fundació|648|1993/01/21|Carrer d'en Grassot , 3, 1r|Barcelona|08025|Barcelonès|Assistencial|3a edat ; Assistencial
Fundació Privada Amics del Col·legi Mare Nostrum|Fundació|1586|2001/10/18|Camí Nou de la Budellera , s/n|Tarragona|43007|Tarragonès|Docent|Altres activitats formatives ; Docent
Fundació Privada Amics del MNAC|Fundació|2182|2006/04/03|Parc Montjuïc , s/n|Barcelona|08038|Barcelonès|Cultural|Cultural
Fundació Privada Amics del Parc Natural del Delta de l'Ebre|Fundació|787|1994/05/13|Carrer Martí Buera , 22|Deltebre|43580|Baix Ebre|Cultural|Cultural ; Mediambientals
Fundació Privada Amigos de Nazaria Ignacia (ANI)|Fundació|816|1994/07/20|Rambla Prim , 150|Barcelona|08019|Barcelonès|Cultural i Docent|Cultural ; Altres activitats formatives ; Docent
Fundació Privada Amorós Garriga per a la Assistència a la Tercera Edat|Fundació|1241|1998/12/28|Carrer Guifré , 100, àtic 3a|Badalona|08912|Barcelonès|Assistencial|Artístiques ; Assistencial
Fundació Privada Andreu Nin|Fundació|437|1989/05/25|Plaça dels Traginers , 4, 1r 3a|Barcelona|08002|Barcelonès|Cultural|Cultural
Fundació Privada Andruxai|Fundació|2545|2009/01/29|Carrer Sant Màrius , 24|Barcelona|08022|Barcelonès|Cultural|Cultural
Fundació Privada Anna Ravell i Barrera|Fundació|1028|1997/01/02|Carrer Evarist Arnús , 44|Barcelona|08014|Barcelonès|Docent|Docent ; Gestió centres d'ensenyament
Fundació Privada Anne|Fundació|311|1987/06/29|Passeig Bonanova , 38, bxs. B|Barcelona|08017|Barcelonès|Assistencial|Infància i adolescència ; Assistencial
Fundació Privada Antiga Escola Professional de Valls|Fundació|1033|1997/01/13|Carrer Creu de Cames , s/n|Valls|43800|Alt Camp|Cultural|Promoció ; Cultural
Fundació Privada Antoni Tàpies|Fundació|164|1985/05/09|Carrer Aragó , 255|Barcelona|08007|Barcelonès|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Privada Antonia Roura i Barbany|Fundació|267|1986/09/26|Carrer Nou , 12|Granollers|08401|Vallès Oriental|Assistencial|3a edat ; Assistencial
Fundació Privada Antonio F. Cagigós|Fundació|2986|2016/09/29|Carrer Rosalía de Castro , 32|Barcelona|08025|Barcelonès|Cultural|Cultural
Fundació Privada Apadis Les Franqueses|Fundació|2172|2006/02/20|Carrer Rosselló , 37|Franqueses del Vallès|08521|Vallès Oriental|Assistencial|
Fundació Privada Apel·les Fenosa|Fundació|1245|1999/01/18|Carrer Major , 25|Vendrell|43700|Baix Penedès|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Privada Aplicació|Fundació|1458|2000/10/25|Passeig Anselm Clavé , 19, bxs.|Callús|08262|Bages|Cultural|Promoció ; Cultural
Fundació Privada Aqua Maris|Fundació|1873|2003/10/07|Carrer Eduard Maristany , 85|Badalona|08912|Barcelonès|Assistencial i Docent|Assistencial ; Docent ; Fins científics
Fundació Privada Arani|Fundació|1716|2002/11/04|Carrer Indústria , 137-141, entl. H|Barcelona|08025|Barcelonès|Assistencial|Immigració ; Assistencial ; Drogodependents
Fundació Privada Arborètum de les Garrigues Dr. Barberà|Fundació|994|1996/07/03|Carrer Major , 36|Pobla de Cérvoles|25471|Garrigues|Cultural, Docent i Fins Científics|Mediambientals ; Docent ; Fins científics ; Cultural
Fundació Privada Arc de Sant Martí|Fundació|2116|2005/09/06|Plaça de les Cultures , s/n|Martorell|08760|Baix Llobregat|Assistencial|Discapacitats ; Assistencial
Fundació Privada Ardaro|Fundació|2135|2005/10/26|Plaça Josep Maluquer i Salvador , 10, 2n 1a|Granollers|08401|Vallès Oriental|Docent|
Fundació Privada Aremi|Fundació|871|1995/03/02|Carrer Garraf , 17|Lleida|25005|Segrià|Assistencial|Tutelar discapacitats ; Discapacitats ; Assistencial
Fundació Privada Argo Maris|Fundació|2524|2008/12/03|Carretera Rubí , 288, local I|Terrassa|08228|Vallès Occidental|Cultural|Cultural
Fundació Privada Armando Lluent|Fundació|2614|2010/03/11|Carrer Melcior de Palau , 98, bxs.|Barcelona|08014|Barcelonès|Cultural|Cultural
Fundació Privada Arnau Mir de Tost|Fundació|2566|2009/04/21|Plaça Major , 1|Àger|25691|Noguera|Cultural|Cultural
Fundació Privada Ars - Garriga Mir|Fundació|1499|2001/01/15|Plaça Creu , 1, bxs.|Manresa|08241|Bages|Assistencial i Cultural|Cultural ; Assistencial ; Promoció
Fundació Privada Arsis|Fundació|1752|2003/02/06|Carrer Ramon Turró , 10, B, 1r 1a|Barcelona|08005|Barcelonès|Assistencial|Assistencial ; Pobres i indigents
Fundació Privada Artesà per la Integració Sociolaboral|Fundació|1440|2000/09/19|Carrer Tapioles , 27, bxs.|Barcelona|08004|Barcelonès|Assistencial|Discapacitats ; Assistencial ; Tutelar discapacitats psíquics
Fundació Privada Artistes X la Pau|Fundació|2043|2004/12/03|Carrer Pere Vergés , 1, 9è 1a|Barcelona|08020|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Privada Artur Blasco per a la Recerca i Divulgació de la Cultura Popular i Tradicional del Pirineu|Fundació|1946|2004/03/23|Carrer Travinelles , s/n|Arsèguel|25722|Alt Urgell|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Arxiu Tobella|Fundació|271|1986/10/15|Plaça de Saragossa , 2|Terrassa|08221|Vallès Occidental|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Privada Asamve|Fundació|1276|1999/03/29|Avinguda Vilanova , 12|Barcelona|08018|Barcelonès|Assistencial|Discapacitats ; Assistencial
Fundació Privada Ashekor Fundación Internacional|Fundació|1286|1999/05/17|Avinguda de Roma , 38-40, B, Entl. 2a|Barcelona|08015|Barcelonès|Assistencial|Assistencial ; Cooperació al desenvolupament
Fundació Privada Asil Vilallonga|Fundació|258|1986/08/08|Avinguda Vilallonga , 1|Figueres|17600|Alt Empordà|Assistencial|Assistencial ; 3a edat
Fundació Privada Aspasim - Vicenta Verdú|Fundació|891|1995/05/03|Carrer Mont d'Orsa , 22-24|Vallvidrera|08017|Barcelonès|Assistencial|Assistencial ; Tutelar discapacitats ; Discapacitats
Fundació Privada Aspronis|Fundació|603|1992/04/16|Carrer Joan Carles I , 81, entl.|Blanes|17300|Selva|Assistencial|Discapacitats ; Assistencial ; Tutelar discapacitats psíquics
Fundació Privada Aspros|Fundació|1414|2000/06/15|Avinguda de Madrid , 21, altell, B|Lleida|25002|Segrià|Assistencial|Discapacitats ; Assistencial
Fundació Privada Asproseat Empresa i Treball|Fundació|2632|2010/07/20|Carrer Dolors Aleu , 27-33|Hospitalet de Llobregat|08908|Barcelonès|Assistencial|Assistencial
Fundació Privada Asproseat Proa Esplugues|Fundació|1254|1999/01/28|Avinguda la Miranda , 11-19|Esplugues de Llobregat|08950|Baix Llobregat|Assistencial|Discapacitats ; Tutelar discapacitats psíquics ; Assistencial
